Country,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
Country,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,Mining,Mining,Mining,Mining,Mining,Mining,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Total Manufacturing,Food,Food,Food,Food,Food,Food,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Chemicals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Primary and fabricated metals,Machinery,Machinery,Machinery,Machinery,Machinery,Machinery,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,Computers and electronic products,"Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components","Electrical equipment, appliances, and components",Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Transportation Equipment,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Other Manufacturing,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Wholesale Trade,Information,Information,Information,Information,Information,Information,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Depository Institutions,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,Finance (except depository institutions) and insurance,"Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services","Professional, scientific, and technical services",Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Holding Companies (nonbank),Other Industries,Other Industries,Other Industries,Other Industries,Other Industries,Other Industries
  Finland,1258,2538,2513,4063,4504,5269,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,-246,1551,1675,1518,1629,1675,NA,NA,NA,NA,NA,NA,56,NA,NA,68,68,69,(*),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1272,259,254,186,128,131,23,24,26,28,92,95,0,0,(*),(*),(*),(*),465,609,596,697,724,643,56,218,185,179,203,286,915,-49,-37,157,777,1239,-3,NA,NA,NA,NA,NA,-5,-5,-7,NA,NA,-5,431,635,630,629,485,748,54,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
  France,81274,72926,78632,67548,88425,91153,NA,-103,77,234,32,34,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,25011,20529,22268,19379,37018,39642,6318,1273,1481,1503,6940,7375,2386,2673,2679,2491,13251,16142,4352,3097,3628,4186,4877,5407,2159,2364,2368,1899,2268,1003,1472,1248,1533,1299,1510,1538,540,624,705,805,864,1032,690,2512,2335,457,568,439,7094,6738,7540,6740,6742,6706,4833,6468,6560,6001,6270,7011,3280,2583,2495,2553,1618,1567,2165,1220,795,748,635,604,16945,13514,12713,12859,15150,15461,2378,3307,2591,1993,2692,2460,16638,16327,16122,13825,13251,14014,NA,9080,15010,9957,11759,10359
  Germany,120519,129985,132595,134794,151278,162387,NA,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,27457,24531,25965,27380,28399,32708,412,562,857,1736,1705,2507,6203,3977,2331,2571,4130,8737,1976,955,1531,2190,1888,1860,3908,4405,4948,5258,5543,6552,4134,3932,4965,5345,5336,5158,1665,1166,763,673,1584,999,2479,3016,3556,2877,285,-1395,6680,6517,7014,6729,7927,8290,15272,14403,15368,15742,16614,17496,4966,3989,3906,8162,4537,5332,1147,1114,1254,NA,NA,NA,16136,15289,17133,11633,12850,13181,2138,5155,4189,6388,8309,10101,53814,65295,66685,60577,65113,55574,NA,NA,NA,869,3542,NA
  Greece,1007,1017,1198,431,90,74,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1398,1437,1531,511,496,516,NA,NA,NA,NA,NA,NA,165,140,173,168,154,175,(*),(*),(*),(*),(*),(*),9,8,9,9,13,18,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,0,0,0,0,0,0,1140,1220,1268,253,245,236,43,64,126,101,91,174,36,38,41,45,45,-12,NA,NA,NA,NA,NA,NA,NA,NA,-98,NA,NA,-120,24,29,46,64,45,16,(*),(*),(*),(*),(*),(*),-71,-100,NA,-59,-98,NA
  Hungary,7625,7392,6672,5283,12166,13295,NA,NA,NA,NA,20,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1666,1529,1968,1177,915,845,NA,NA,NA,NA,NA,NA,23,14,NA,-9,NA,-4,2,1,1,4,6,19,161,-110,104,145,97,-56,152,176,198,3,-174,-229,NA,-7,NA,-10,-10,-10,927,1115,1357,702,781,886,376,NA,316,NA,180,NA,617,657,640,661,504,556,553,572,609,596,516,1473,-16,5,26,28,NA,NA,NA,2276,NA,NA,NA,577,55,57,61,67,59,59,NA,949,839,1799,NA,NA,253,NA,272,389,399,NA
  Ireland,337831,399885,457301,444037,398749,390274,-67,-67,-67,NA,NA,94,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,17295,2788,15456,10770,20121,64856,221,451,513,514,520,611,9023,-6493,-3859,1033,6814,52422,101,166,191,194,180,202,158,252,1380,1346,1397,1495,2320,4872,11334,2763,3058,2312,NA,NA,NA,NA,NA,NA,282,303,11,9,30,35,NA,NA,NA,NA,NA,NA,528,456,956,1687,1685,1792,39083,50844,57570,75034,72636,77448,NA,NA,NA,NA,NA,NA,17031,18333,21765,93755,39837,-11816,13726,11843,7003,7568,7700,8146,176049,230487,264967,166022,159195,140001,NA,NA,NA,NA,NA,NA
  Italy,30869,30573,27617,32842,28270,31093,255,276,325,346,385,450,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,10634,9345,9947,10972,14083,15386,1776,1513,1602,1379,1439,1793,1901,1732,1590,1770,2314,2569,380,592,547,1642,1293,1222,920,1220,705,534,3142,3299,1390,1216,1408,1597,1651,1850,178,-329,147,144,146,NA,584,465,556,495,480,524,3505,2938,3393,3412,3618,NA,3747,3607,4033,3142,3363,3828,3897,2688,3040,9577,2262,2225,NA,NA,115,111,144,62,4380,5957,3894,2890,2358,2625,313,990,1000,828,744,1014,1718,1400,1264,1341,1699,1826,NA,NA,3999,3636,3231,3677
  Luxembourg,599001,646508,703066,720628,751657,759360,NA,NA,NA,NA,NA,NA,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,13898,13259,19729,18977,9437,9367,NA,-1,1,1,1,2,181,602,-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1120,758,NA,NA,NA,NA,NA,20,NA,694,NA,NA,NA,NA,-199,NA,NA,819,1980,NA,9766,8596,15940,13698,4978,5237,306,1161,1047,1819,1986,-2187,3310,3596,3049,755,-1,-33,NA,NA,3469,4926,6587,7190,35592,21416,19321,25943,47946,47743,2214,3187,3400,7447,-282,488,524761,579546,630581,621046,647197,656127,6927,12380,NA,NA,NA,NA
  Netherlands,829693,816667,929746,809663,810986,843954,1214,1751,1805,2321,1766,1584,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,54735,56215,62378,52845,94417,99531,6651,5708,9664,-1234,-6,-615,10370,15369,9947,9401,38289,40706,2883,898,763,654,472,662,3681,5765,5731,6185,14378,14642,3278,5860,7366,6011,7279,8057,NA,-124,-126,-42,270,68,606,1619,4428,4535,5939,6250,NA,21120,24605,27335,27795,29759,10829,14651,19205,19177,12495,13636,27595,24223,23477,21590,23870,27280,NA,NA,NA,NA,NA,NA,51374,37717,44689,58414,55289,51704,8027,4817,4999,3868,3922,9324,665183,653047,744862,627091,597240,620999,NA,NA,NA,NA,NA,NA
  Norway,31697,28657,26901,25905,24632,21484,6351,6014,6063,5125,7769,5836,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1715,2794,3008,2148,2266,1852,NA,NA,NA,NA,316,323,370,837,1170,635,650,666,NA,NA,NA,NA,14,12,309,1060,911,665,603,236,228,160,164,162,NA,167,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,140,114,70,123,369,290,248,206,291,303,493,543,3083,3107,3187,2939,2795,2648,1,-1,1,1,-1,-3,801,400,436,377,258,280,110,369,352,320,271,269,18260,14513,12134,13390,9263,8415,1128,1256,1430,1302,1519,1642
