"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region"
"81","Philippines",9.7e+07,5.25e+09,109581085,885189.264187337,47909728.2163249,"East Asia"
"82","Venezuela",3600000,2.07e+09,28435943,126600.338170603,72795194.4480969,"South America"
"83","Rwanda",2e+05,0,12952209,15441.3814662812,0,NA
"84","Senegal",832118,0,16743930,49696.6960564216,0,NA
"85","Serbia",4200000,3.47e+09,6908224,607971.021206029,502299867.520219,"Europe"
"86","Sierra Leone",4e+05,0,7976985,50144.2587644329,0,NA
"87","Singapore",665200,2.235e+10,5685807,116993.067123101,3930840424.23529,"East Asia"
"88","Solomon Islands",50000,2e+08,686878,72793.1306578461,291172522.631384,"East Asia"
"89","Somalia",2e+05,0,15893219,12583.9831440063,0,NA
"90","South Africa",0,2.85e+09,59308690,0,48053666.3345624,"Sub-Saharan Africa"
"91","South Sudan",0,0,11193729,0,0,NA
"92","Sri Lanka",2.6e+07,3.3e+09,21919000,1186185.50116337,150554313.609197,"West Asia"
"93","Sudan",650000,0,43849269,14823.5082322581,0,NA
"94","Syria",3e+05,0,17500657,17142.2135751818,0,NA
"95","Tajikistan",2300000,0,9537642,241149.751689149,0,NA
"96","Tanzania",1353116,1.93e+09,59734213,22652.2780169549,32309792.0449709,"Sub-Saharan Africa"
"97","Thailand",55200000,2.15e+09,69799978,790831.194817855,30802301.9720723,"East Asia"
"98","Timor-Leste",1e+05,0,1318442,75847.0983175597,0,NA
"99","Togo",4e+05,0,8278737,48316.5487682481,0,NA
"100","Trinidad",1100000,0,1399491,786000.052876367,0,NA
"101","Tunisia",1100000,0,11818618,93073.4879492678,0,NA
"102","Turkey",31400000,2.57e+09,84339067,372306.703369152,30472236.5496408,"West Asia"
"103","Turkmenistan",0,0,6031187,0,0,NA
"104","Uganda",1e+06,2e+08,45741000,21862.2242626965,4372444.8525393,"Sub-Saharan Africa"
"105","Ukraine",1700000,1.8e+08,44134693,38518.4507797528,4078424.20020912,"Europe"
"106","United Arab Emirates",3e+06,7.34e+09,9890400,303324.435816549,742133786.297824,NA
"107","Uruguay",1750000,0,3473727,503781.673113633,0,NA
"108","Uzbekistan",1.8e+07,7.9e+08,34232050,525823.022576796,23077788.2130927,"West Asia"
"109","Vanuatu",20000,0,307150,65114.7647729123,0,NA
"110","Vietnam",6500000,3.19e+09,97338583,66777.2202930055,32772205.0361058,"East Asia"
"111","Palestine",6e+05,0,4803000,124921.923797626,0,NA
"112","Zambia",113600,1.11e+09,18383956,6179.30112539434,60378734.58792,"Sub-Saharan Africa"
"113","Zimbabwe",24833600,1.1e+09,14862927,1670841.82005334,74009648.3014416,"Sub-Saharan Africa"
"114","Australia",0,2.208e+10,25687041,0,859577403.251702,"Australia"
"115","Austria",0,2.3e+08,8917205,0,25792835.3110644,"Europe"
"116","Belgium",0,6.7e+08,11555997,0,57978554.3384963,"Europe"
"117","UK",0,6.293e+10,67215293,0,936245267.873786,NA
"118","Canada",0,1.355e+10,38005238,0,356529802.549848,"North America"
"119","Croatia",0,2.2e+08,4047200,0,54358568.8871318,"Europe"
"120","Czech Republic",0,6.6e+08,10698896,0,61688607.8713168,"Europe"
"121","Denmark",0,7.3e+08,5831404,0,125184260.942991,"Europe"
"122","Finland",0,1.548e+10,5530719,0,2798912763.4219,"Europe"
"123","France",0,1.859e+10,67391582,0,275850476.399263,"Europe"
"124","Germany",0,3.863e+10,83240525,0,464076842.379358,"Europe"
"125","Greece",0,3.84e+09,10715549,0,358357747.23255,"Europe"
"126","India",0,1.271e+10,1380004385,0,9210115.66206001,"West Asia"
"127","Ireland",0,2.76e+09,4994724,0,552583085.672001,"Europe"
"128","Israel",0,6.59e+09,9216900,0,714990940.55485,"Europe"
"129","Italy",0,4.33e+09,59554023,0,72707094.8674618,"Europe"
"130","Jamaica",0,3e+08,2961161,0,101311613.924403,"North America"
"131","Japan",0,8.78e+09,125836021,0,69773344.152387,"East Asia"
"132","Kuwait",0,6.5e+08,4270563,0,152204756.141052,"Arab Middle East and North Africa"
"133","Liberia",0,2.5e+08,5057677,0,49429807.3997213,"Sub-Saharan Africa"
"134","Luxembourg",0,4.33e+09,632275,0,6848285951.52426,"Europe"
"135","Mali",0,1.3e+08,20250834,0,6419488.69858891,"Sub-Saharan Africa"
"136","Netherlands",0,1.357e+10,17441139,0,778045516.408074,"Europe"
"137","New Zealand",0,1.03e+09,5084300,0,202584426.568062,"East Asia"
"138","Norway",0,1.64e+09,5379475,0,304862463.344471,"Europe"
"139","Panama",0,2e+08,4314768,0,46352434.2444368,"North America"
"140","Poland",0,4.5e+08,37950802,0,11857456.9254162,"Europe"
"141","Portugal",0,9.5e+08,10305564,0,92183212.8741328,"Europe"
"142","Russia",0,8.84e+09,144104080,0,61344550.411064,NA
"143","Samoa",0,1.1e+08,198410,0,554407539.942543,"East Asia"
"144","Saudi Arabia",0,2.32e+09,34813867,0,66640112.1139459,"Arab Middle East and North Africa"
"145","Slovenia",0,1.39e+09,2100126,0,661865050.001762,"Europe"
"146","South Korea",0,2.61e+09,51780579,0,50404998.3682106,"East Asia"
"147","Spain",0,5.07e+09,47351567,0,107071430.18097,"Europe"
"148","Sweden",0,1.005e+10,10353442,0,970691679.153657,"Europe"
"149","Switzerland",0,4.828e+10,8636896,0,5589971211.87982,"Europe"
"150","Taiwan",0,1.08e+09,23570000,0,45820958.8459907,"East Asia"
"151","USA",0,9.224e+10,329484123,0,279952791.534055,"USA"
"152","Bosnia",NA,NA,NA,NA,NA,"Europe"
"153","Britain",NA,NA,NA,NA,NA,"Europe"
"154","Congo",NA,NA,NA,NA,NA,"Sub-Saharan Africa"
"155","Russian Federation",NA,NA,NA,NA,NA,"West Asia"
"156","UAE",NA,NA,NA,NA,NA,"Arab Middle East and North Africa"
