"","Country","total_doses_delivered","quantity","Population","doses_per_million","quantity_per_million","Region","Industry","Subcategory","usa_quantity","usa_quantity_per_million"
"54","Venezuela",3600000,2.07e+09,28435943,126600.3382,72795194.45,"Latin America","All Industries Total","All Industries Total",2.4265e+10,853321446.030469
"55","Mexico",44650000,1.88e+09,128932753,346304.5577,14581244.53,"Latin America","All Industries Total","All Industries Total",5.94526e+11,4611132440.49012
"56","Guyana",120000,1.57e+09,786559,152563.2534,1996035898,"Latin America",NA,NA,NA,NA
"57","Ecuador",31400000,9.2e+08,17643060,1779736.622,52145149.42,"Latin America","All Industries Total","All Industries Total",4.1e+09,232385991.99912
"58","Colombia",13600000,3.7e+08,50882884,267280.4474,7271600.407,"Latin America","All Industries Total","All Industries Total",4.5592e+10,896018393.925942
"59","Panama",0,2e+08,4314768,0,46352434.24,"Latin America","All Industries Total","All Industries Total",2.9314e+10,6793876287.2071
"60","El Salvador",10300000,0,6486201,1587986.558,0,"Latin America",NA,NA,NA,NA
"61","Bolivia",6e+06,0,11673029,514005.4051,0,"Latin America",NA,NA,NA,NA
"62","Trinidad",1100000,0,1399491,786000.0529,0,"Latin America","All Industries Total","All Industries Total",0,0
"63","Uruguay",1750000,0,3473727,503781.6731,0,"Latin America",NA,NA,NA,NA
"64","Canada",0,1.36e+10,38005238,0,356529802.5,"North America","All Industries Total","All Industries Total",2.288975e+12,60227882272.4383
"65","Jamaica",0,3e+08,2961161,0,101311613.9,"North America","All Industries Total","All Industries Total",0,0
"66","Antigua",20000,0,97928,204231.6804,0,"North America",NA,NA,NA,NA
"67","Barbados",60000,0,287371,208789.335,0,"North America","All Industries Total","All Industries Total",1.98384e+11,690341057378.789
"68","Cuba",250000,0,11326616,22071.90568,0,"North America",NA,NA,NA,NA
"69","Dominica",20000,0,71991,277812.5043,0,"North America",NA,NA,NA,NA
"70","Dominican Republic",31636000,0,10847904,2916323.743,0,"North America","All Industries Total","All Industries Total",1.2174e+10,1122244444.6411
"71","USA",0,9.22e+10,329484123,0,279952791.5,"North America",NA,NA,NA,NA
"72","Singapore",665200,2.24e+10,5685807,116993.0671,3930840424,"SE Asia","All Industries Total","All Industries Total",1.554283e+12,273361899199.181
"73","Indonesia",411358000,1.61e+10,273523621,1503921.301,58788341.35,"SE Asia","All Industries Total","All Industries Total",1.02557e+11,374947507.732796
"74","Laos",5302000,1.18e+10,7275556,728741.556,1624618105,"SE Asia",NA,NA,NA,NA
"75","Malaysia",8400000,6.7e+09,32365998,259531.6233,207007366.2,"SE Asia","All Industries Total","All Industries Total",7.3654e+10,2275659783.45546
"76","Cambodia",69606000,5.55e+09,16718971,4163294.499,331958228.8,"SE Asia",NA,NA,NA,NA
"77","Philippines",9.7e+07,5.25e+09,109581085,885189.2642,47909728.22,"SE Asia","All Industries Total","All Industries Total",3.5703e+10,325813528.858562
